Time	Temperature	Field	Vg1	Va1	Rxy1 Ch1	Rxy1 Ch2	Rxx1 Ch1	Rxx1 Ch2	Vg2	Rxy2 Ch1	Rxy2 Ch2	Rxx2 Ch1	Rxx2 Ch2	Field(analog)	Angle	
5.000591E-3	7.979660E+0	3.999900E+0	0	0	0.000111692	3.49434e-006	0.000990517	1.65702e-005	0	0.0001117	3.49434e-006	0.000990517	1.65702e-005	4.012779E+0	0.000000E+0	
1.050062E-1	7.979660E+0	3.999900E+0	0	0	9.76627e-005	3.12926e-006	0.000990517	1.65702e-005	0	0.00011167	3.49434e-006	0.000990517	1.65702e-005	4.012779E+0	0.000000E+0	
2.050118E-1	7.979660E+0	3.999900E+0	0	0	9.76627e-005	3.12926e-006	0.000991113	1.69278e-005	0	9.76627e-005	3.12926e-006	0.000991113	1.69278e-005	4.012779E+0	0.000000E+0	
3.050175E-1	7.984950E+0	3.999900E+0	0	0	9.76627e-005	3.12181e-006	0.000991113	1.69278e-005	0	9.76627e-005	3.12926e-006	0.000991113	1.69278e-005	4.012779E+0	0.000000E+0	
4.050236E-1	7.984950E+0	3.999900E+0	0	0	9.76552e-005	3.12181e-006	0.000991113	1.69278e-005	0	9.76627e-005	3.12181e-006	0.000991113	1.69278e-005	4.012734E+0	0.000000E+0	
5.050292E-1	7.984950E+0	3.999900E+0	0	0	9.76478e-005	3.12181e-006	0.000991113	1.69278e-005	0	9.76552e-005	3.12181e-006	0.000991113	1.69278e-005	4.012734E+0	0.000000E+0	
6.050348E-1	7.984950E+0	3.999900E+0	0	0	9.76403e-005	3.12181e-006	0.000991113	1.69278e-005	0	9.76478e-005	3.12181e-006	0.000991113	1.69278e-005	4.012734E+0	0.000000E+0	
7.050405E-1	7.984950E+0	3.999900E+0	0	0	9.76403e-005	3.12181e-006	0.000991113	1.69278e-005	0	9.76403e-005	3.12181e-006	0.000991113	1.69278e-005	4.012734E+0	0.000000E+0	
8.050461E-1	7.984950E+0	3.999900E+0	0	0	9.76329e-005	3.12926e-006	0.000991113	1.69278e-005	0	9.76403e-005	3.12181e-006	0.000991113	1.69278e-005	4.012734E+0	0.000000E+0	
9.050522E-1	7.984950E+0	3.999900E+0	0	0	9.76329e-005	3.12926e-006	0.000991113	1.68086e-005	0	9.76329e-005	3.12926e-006	0.000991113	1.68086e-005	4.012734E+0	0.000000E+0	
1.005058E+0	7.987480E+0	3.999900E+0	0	0	9.76254e-005	3.12926e-006	0.000991113	1.68086e-005	0	9.76329e-005	3.12926e-006	0.000991113	1.68086e-005	4.012734E+0	0.000000E+0	
1.105063E+0	7.987480E+0	3.999900E+0	0	0	9.7618e-005	3.12926e-006	0.000991113	1.68086e-005	0	9.76254e-005	3.12926e-006	0.000991113	1.68086e-005	4.012688E+0	0.000000E+0	
1.205069E+0	7.987480E+0	3.999900E+0	0	0	9.76031e-005	3.13671e-006	0.000991113	1.68086e-005	0	9.7618e-005	3.12926e-006	0.000991113	1.68086e-005	4.012688E+0	0.000000E+0	
1.305075E+0	7.987480E+0	3.999900E+0	0	0	9.75956e-005	3.14416e-006	0.000991113	1.68086e-005	0	9.76031e-005	3.13671e-006	0.000991113	1.68086e-005	4.012688E+0	0.000000E+0	
1.405081E+0	7.987480E+0	3.999900E+0	0	0	9.75956e-005	3.15161e-006	0.000991113	1.68086e-005	0	9.75956e-005	3.15161e-006	0.000991113	1.68086e-005	4.012688E+0	0.000000E+0	
1.505086E+0	7.987480E+0	3.999900E+0	0	0	9.75956e-005	3.15906e-006	0.000991113	1.69278e-005	0	9.75956e-005	3.15906e-006	0.000991113	1.69278e-005	4.012688E+0	0.000000E+0	
1.605092E+0	7.987480E+0	3.999900E+0	0	0	9.75956e-005	3.15906e-006	0.000991113	1.69278e-005	0	9.75956e-005	3.15906e-006	0.000991113	1.69278e-005	4.012688E+0	0.000000E+0	
1.705098E+0	7.978570E+0	3.999900E+0	0	0	9.75882e-005	3.14416e-006	0.000991113	1.69278e-005	0	9.75956e-005	3.15161e-006	0.000991113	1.69278e-005	4.012689E+0	0.000000E+0	
1.805103E+0	7.978570E+0	3.999900E+0	0	0	9.75807e-005	3.13671e-006	0.000991113	1.69278e-005	0	9.75882e-005	3.14416e-006	0.000991113	1.69278e-005	4.012734E+0	0.000000E+0	
1.905109E+0	7.978570E+0	3.999900E+0	0	0	9.75807e-005	3.12181e-006	0.000991113	1.69278e-005	0	9.75807e-005	3.13671e-006	0.000991113	1.69278e-005	4.012734E+0	0.000000E+0	
2.004115E+0	7.978570E+0	3.999900E+0	0	0	9.75882e-005	3.11436e-006	0.000991113	1.69278e-005	0	9.75807e-005	3.12181e-006	0.000991113	1.69278e-005	4.012734E+0	0.000000E+0	
2.104121E+0	7.978570E+0	3.999900E+0	0	0	9.75956e-005	3.10691e-006	0.000991113	1.69278e-005	0	9.75882e-005	3.11436e-006	0.000991113	1.69278e-005	4.012734E+0	0.000000E+0	
2.204126E+0	7.978570E+0	3.999900E+0	0	0	9.76105e-005	3.09946e-006	0.000991113	1.69278e-005	0	9.75956e-005	3.10691e-006	0.000991113	1.69278e-005	4.012734E+0	0.000000E+0	
2.304132E+0	7.978570E+0	3.999900E+0	0	0	9.76254e-005	3.09946e-006	0.000991113	1.69278e-005	0	9.7618e-005	3.09946e-006	0.000991113	1.69278e-005	4.012734E+0	0.000000E+0	
2.404138E+0	7.978570E+0	3.999900E+0	0	0	9.76478e-005	3.09946e-006	0.000991113	1.69278e-005	0	9.76329e-005	3.09946e-006	0.000991113	1.69278e-005	4.012734E+0	0.000000E+0	
