Time	Temperature	Field	Vg1	Va1	Rxy1 Ch1	Rxy1 Ch2	Rxx1 Ch1	Rxx1 Ch2	Vg2	Rxy2 Ch1	Rxy2 Ch2	Rxx2 Ch1	Rxx2 Ch2	Field(analog)	Angle	
3.000259E-3	1.836260E+0	-1.999800E+0	0	0	-0.01851	-179.517	0.00104464	-6.75784	0					-2.004701E+0	0.000000E+0	
1.030059E-1	1.836260E+0	-1.999800E+0	0	0	-0.01851	-179.517	0.00104464	-6.75784	0					-2.004701E+0	0.000000E+0	
2.030120E-1	1.836260E+0	-1.999800E+0	0	0	-0.01851	-179.517	0.00104464	-6.75003	0					-2.004701E+0	0.000000E+0	
3.030176E-1	1.836030E+0	-1.999800E+0	0	0	-0.01851	-179.517	0.00104464	-6.75784	0					-2.004701E+0	0.000000E+0	
4.030232E-1	1.836030E+0	-1.999800E+0	0	0	-0.01851	-179.517	0.00104464	-6.75003	0					-2.004701E+0	0.000000E+0	
5.030289E-1	1.836030E+0	-1.999800E+0	0	0	-0.01851	-179.517	0.00104464	-6.75003	0					-2.004701E+0	0.000000E+0	
6.030345E-1	1.836030E+0	-1.999800E+0	0	0	-0.01851	-179.517	0.00104464	-6.75003	0					-2.004701E+0	0.000000E+0	
7.030406E-1	1.836030E+0	-1.999800E+0	0	0	-0.01851	-179.517	0.00104464	-6.75003	0					-2.004701E+0	0.000000E+0	
8.030462E-1	1.836030E+0	-1.999800E+0	0	0	-0.01851	-179.517	0.00104464	-6.75784	0					-2.004701E+0	0.000000E+0	
9.030519E-1	1.836030E+0	-1.999800E+0	0	0	-0.0185109	-179.517	0.00104464	-6.75003	0					-2.004701E+0	0.000000E+0	
1.003057E+0	1.835940E+0	-1.999800E+0	0	0	-0.0185109	-179.517	0.00104464	-6.75784	0					-2.004701E+0	0.000000E+0	
1.103063E+0	1.835940E+0	-1.999800E+0	0	0	-0.0185119	-179.517	0.00104464	-6.75003	0					-2.004750E+0	0.000000E+0	
1.203069E+0	1.835940E+0	-1.999800E+0	0	0	-0.0185119	-179.517	0.00104464	-6.75003	0					-2.004750E+0	0.000000E+0	
1.303075E+0	1.835940E+0	-1.999800E+0	0	0	-0.0185119	-179.517	0.00104464	-6.75003	0					-2.004750E+0	0.000000E+0	
1.403080E+0	1.835940E+0	-1.999800E+0	0	0	-0.0185128	-179.517	0.00104464	-6.75784	0					-2.004750E+0	0.000000E+0	
1.503086E+0	1.835940E+0	-1.999800E+0	0	0	-0.0185138	-179.517	0.00104464	-6.75784	0					-2.004750E+0	0.000000E+0	
1.603092E+0	1.835940E+0	-1.999800E+0	0	0	-0.0185138	-179.517	0.00104464	-6.75003	0					-2.004750E+0	0.000000E+0	
1.703098E+0	1.835940E+0	-1.999800E+0	0	0	-0.0185148	-179.517	0.00104464	-6.75784	0					-2.004750E+0	0.000000E+0	
1.803103E+0	1.835850E+0	-1.999800E+0	0	0	-0.0185157	-179.517	0.00104464	-6.75784	0					-2.004750E+0	0.000000E+0	
1.903109E+0	1.835850E+0	-1.999800E+0	0	0	-0.0185167	-179.517	0.00104464	-6.75784	0					-2.004750E+0	0.000000E+0	
2.003115E+0	1.835850E+0	-1.999800E+0	0	0	-0.0185167	-179.517	0.00104464	-6.75784	0					-2.004750E+0	0.000000E+0	
2.103120E+0	1.835850E+0	-1.999800E+0	0	0	-0.0185167	-179.517	0.00104464	-6.75784	0					-2.004750E+0	0.000000E+0	
2.203126E+0	1.835850E+0	-1.999800E+0	0	0	-0.0185176	-179.517	0.00104464	-6.75784	0					-2.004750E+0	0.000000E+0	
2.303132E+0	1.835850E+0	-1.999800E+0	0	0	-0.0185176	-179.517	0.00104464	-6.75784	0					-2.004750E+0	0.000000E+0	
2.403138E+0	1.835850E+0	-1.999800E+0	0	0	-0.0185186	-179.517	0.00104464	-6.75784	0					-2.004750E+0	0.000000E+0	
2.503143E+0	1.835710E+0	-1.999800E+0	0	0	-0.0185186	-179.517	0.00104464	-6.75784	0					-2.004750E+0	0.000000E+0	
2.603149E+0	1.835710E+0	-1.999800E+0	0	0	-0.0185186	-179.517	0.00104464	-6.75784	0					-2.004652E+0	0.000000E+0	
2.703155E+0	1.835710E+0	-1.999800E+0	0	0	-0.0185186	-179.517	0.00104464	-6.75784	0					-2.004652E+0	0.000000E+0	
2.803161E+0	1.835710E+0	-1.999800E+0	0	0	-0.0185186	-179.517	0.00104464	-6.75784	0					-2.004652E+0	0.000000E+0	
2.903166E+0	1.835710E+0	-1.999800E+0	0	0	-0.0185186	-179.517	0.00104464	-6.75784	0					-2.004652E+0	0.000000E+0	
3.003172E+0	1.835710E+0	-1.999800E+0	0	0	-0.0185176	-179.517	0.00104464	-6.75784	0					-2.004652E+0	0.000000E+0	
3.103178E+0	1.835710E+0	-1.999800E+0	0	0	-0.0185176	-179.517	0.00104464	-6.75784	0					-2.004652E+0	0.000000E+0	
3.203184E+0	1.835710E+0	-1.999800E+0	0	0	-0.0185167	-179.517	0.00104464	-6.75784	0					-2.004652E+0	0.000000E+0	
3.303189E+0	1.835790E+0	-1.999800E+0	0	0	-0.0185167	-179.517	0.00104464	-6.75784	0					-2.004750E+0	0.000000E+0	
3.403195E+0	1.835790E+0	-1.999800E+0	0	0	-0.0185167	-179.517	0.00104464	-6.75784	0					-2.004750E+0	0.000000E+0	
3.503201E+0	1.835790E+0	-1.999800E+0	0	0	-0.0185167	-179.517	0.00104464	-6.75784	0					-2.004750E+0	0.000000E+0	
3.603206E+0	1.835790E+0	-1.999800E+0	0	0	-0.0185157	-179.517	0.0010447	-6.75784	0					-2.004750E+0	0.000000E+0	
3.703212E+0	1.835790E+0	-1.999800E+0	0	0	-0.0185157	-179.517	0.0010447	-6.75784	0					-2.004750E+0	0.000000E+0	
3.803218E+0	1.835790E+0	-1.999800E+0	0	0	-0.0185148	-179.517	0.0010447	-6.75784	0					-2.004750E+0	0.000000E+0	
3.903224E+0	1.835790E+0	-1.999800E+0	0	0	-0.0185148	-179.517	0.0010447	-6.75784	0					-2.004750E+0	0.000000E+0	
4.003229E+0	1.835960E+0	-1.999800E+0	0	0	-0.0185138	-179.517	0.0010447	-6.75784	0					-2.004799E+0	0.000000E+0	
4.103235E+0	1.835960E+0	-1.999800E+0	0	0	-0.0185138	-179.517	0.0010447	-6.75784	0					-2.004799E+0	0.000000E+0	
4.203241E+0	1.835960E+0	-1.999800E+0	0	0	-0.0185138	-179.517	0.0010447	-6.75784	0					-2.004799E+0	0.000000E+0	
4.303246E+0	1.835960E+0	-1.999800E+0	0	0	-0.0185138	-179.517	0.0010447	-6.75784	0					-2.004799E+0	0.000000E+0	
4.404252E+0	1.835960E+0	-1.999800E+0	0	0	-0.0185138	-179.517	0.0010447	-6.75784	0					-2.004799E+0	0.000000E+0	
4.504258E+0	1.835960E+0	-1.999800E+0	0	0	-0.0185138	-179.517	0.0010447	-6.75784	0					-2.004799E+0	0.000000E+0	
4.604264E+0	1.835960E+0	-1.999800E+0	0	0	-0.0185138	-179.517	0.0010447	-6.75784	0					-2.004799E+0	0.000000E+0	
4.704269E+0	1.836140E+0	-1.999800E+0	0	0	-0.0185138	-179.517	0.0010447	-6.75784	0					-2.004799E+0	0.000000E+0	
4.804275E+0	1.836140E+0	-1.999800E+0	0	0	-0.0185138	-179.517	0.0010447	-6.75784	0					-2.004750E+0	0.000000E+0	
4.904281E+0	1.836140E+0	-1.999800E+0	0	0	-0.0185138	-179.517	0.0010447	-6.75784	0					-2.004750E+0	0.000000E+0	
5.004286E+0	1.836140E+0	-1.999800E+0	0	0	-0.0185138	-179.517	0.0010447	-6.75784	0					-2.004750E+0	0.000000E+0	
