temperature	field	S1Rx-Ch1	S1Rx-Ch2	S1Ry-Ch1	S1Ry-Ch2	S2Ry-Ch1	S2Ry-Ch2	S2Rx-Ch1	S2Rx-Ch2	Time	Sweep var
+1.07027713E+00	+1.00496644E+00	0.00174046	0.523441	-0.000126855	179.587	-1.12709e-005	-179.329	0.00242616	0.0234376	128.969	0
+1.07027401E+00	+1.00496135E+00	0.00174022	0.523441	-0.000122026	-179.134	-1.12616e-005	-179.337	0.00242616	0.0234376	129.281	0
+1.07027361E+00	+1.00496501E+00	0.00174046	0.523441	-0.000124724	-179.501	-1.12597e-005	-179.407	0.00242616	0.0234376	129.578	0
+1.07027520E+00	+1.00496733E+00	0.00174022	0.515629	-0.000122608	-179.774	-1.12467e-005	-179.595	0.00242616	0.0234376	129.891	0
+1.07027350E+00	+1.00496580E+00	0.00174046	0.515629	-0.000123681	-179.173	-1.12299e-005	-179.735	0.00242616	0.0234376	130.203	0
+1.07027327E+00	+1.00496543E+00	0.00174022	0.523441	-0.000124731	179.415	-1.12411e-005	-179.829	0.00242616	0.0234376	130.516	0
+1.07027253E+00	+1.00496557E+00	0.00174046	0.515629	-0.000123383	-178.743	-1.12709e-005	-179.923	0.00242616	0.0234376	130.844	0
+1.07027310E+00	+1.00496722E+00	0.00174046	0.515629	-0.000122779	179.306	-1.12951e-005	-179.876	0.00242616	0.0234376	131.156	0
+1.07027526E+00	+1.00496964E+00	0.00174022	0.523441	-0.000123085	-179.892	-1.13026e-005	-179.829	0.00242616	0.0234376	131.469	0
+1.07027202E+00	+1.00496309E+00	0.00174022	0.523441	-0.000125208	-179.29	-1.12896e-005	-179.821	0.00242616	0.0234376	131.781	0
+1.07033010E+00	+1.00508268E+00	0.00174046	0.515629	-0.000122615	-179.454	-1.12877e-005	-179.735	0.00242616	0.0234376	132.094	0
+1.07036402E+00	+1.00514219E+00	0.00174905	0.523441	-0.000123315	-179.813	-1.20737e-005	-174.728	0.00242616	0.0234376	132.391	0
+1.07036845E+00	+1.00514348E+00	0.00174022	0.304689	-0.000123777	-179.962	-1.46349e-005	-164.728	0.00242616	0.0234376	132.703	0
+1.07040306E+00	+1.00520293E+00	0.00173784	0.648441	-0.000122168	179.868	-1.58326e-005	-161.79	0.00242616	0.0234376	133.016	0
+1.07045477E+00	+1.00530838E+00	0.00174356	0.484377	-0.000123465	-179.665	-1.53278e-005	-163.376	0.00242616	0.0234376	133.328	0
+1.07045642E+00	+1.00531105E+00	0.00173784	0.484377	-0.000123912	179.688	-1.4145e-005	-167.126	0.00242569	0.0234376	133.641	0
+1.07046028E+00	+1.00531221E+00	0.00174094	0.578129	-0.000125469	179.899	-1.30647e-005	-171.134	0.00242569	0.0234376	133.953	0
+1.07045949E+00	+1.00531013E+00	0.00174142	0.492189	-0.000124522	-179.665	-1.22954e-005	-174.478	0.00242569	0.0234376	134.266	0
+1.07046046E+00	+1.00531008E+00	0.00173927	0.523441	-0.000123003	-178.97	-1.18074e-005	-176.813	0.00242569	0.0234376	134.578	0
+1.07045682E+00	+1.00531097E+00	0.00174118	0.515629	-0.000124321	-179.72	-1.15354e-005	-178.29	0.00242569	0.0234376	134.906	0
+1.07045176E+00	+1.00531174E+00	0.00173975	0.515629	-0.000122675	179.72	-1.13845e-005	-179.071	0.00242569	0.0234376	135.219	0
+1.07045104E+00	+1.00531219E+00	0.00174046	0.531254	-0.000125595	179.61	-1.13175e-005	-179.438	0.00242569	0.0234376	135.531	0
+1.07045128E+00	+1.00530905E+00	0.00174046	0.515629	-0.000124999	-178.97	-1.13119e-005	-179.595	0.00242569	0.0234376	135.828	0
+1.07045179E+00	+1.00530783E+00	0.00173999	0.515629	-0.000122973	179.399	-1.13212e-005	-179.626	0.00242569	0.0234376	136.156	0
+1.07045469E+00	+1.00530802E+00	0.00174046	0.523441	-0.000120253	-178.173	-1.13063e-005	-179.61	0.00242569	0.0234376	136.453	0
+1.07041013E+00	+1.00522551E+00	0.00173999	0.515629	-0.00012409	-179.321	-1.12411e-005	-179.306	0.00242569	0.0234376	136.781	0
+1.07040150E+00	+1.00522491E+00	0.00174022	0.515629	-0.000124403	-179.79	-1.11685e-005	-178.892	0.00242569	0.0234376	137.094	0
+1.07045787E+00	+1.00531743E+00	0.00174046	0.515629	-0.000125603	179.142	-1.11275e-005	-178.759	0.00242569	0.0234376	137.406	0
+1.07045764E+00	+1.00655827E+00	0.00174046	0.515629	-0.000120081	179.501	-1.11238e-005	-178.892	0.00242569	0.0234376	137.703	0
+1.07045258E+00	+1.00530983E+00	0.00174022	0.515629	-0.000125111	-179.735	-1.11703e-005	-179.118	0.00242569	0.0234376	138.031	0
+1.07045690E+00	+1.00530540E+00	0.00174022	0.515629	-0.000122481	-179.642	-1.1215e-005	-179.353	0.00242569	0.0234376	138.328	0
+1.07045673E+00	+1.00530906E+00	0.00174046	0.515629	-0.000123971	179.274	-1.12281e-005	-179.595	0.00242569	0.0234376	138.656	0
+1.07045315E+00	+1.00530795E+00	0.00174046	0.515629	-0.000121654	-179.048	-1.12281e-005	-179.751	0.00242569	0.0234376	138.953	0
+1.07045679E+00	+1.00531239E+00	0.00173999	0.523441	-0.000120752	-179.063	-1.12411e-005	-179.837	0.00242569	0.0234376	139.281	0
+1.07045525E+00	+1.00530868E+00	0.00174022	0.515629	-0.000123465	-178.821	-1.12542e-005	-179.876	0.00242569	0.0234376	139.594	0
+1.07045417E+00	+1.00531209E+00	0.00174022	0.515629	-0.000122593	-178.79	-1.12616e-005	-179.899	0.00242569	0.0234376	139.891	0
+1.07045707E+00	+1.00531204E+00	0.00174022	0.515629	-0.000121631	-179.259	-1.12597e-005	-179.915	0.00242569	0.0234376	140.234	0
+1.07045866E+00	+1.00531235E+00	0.00173999	0.515629	-0.000124522	179.501	-1.12597e-005	-179.813	0.00242569	0.0234376	140.531	0
+1.07045577E+00	+1.00531253E+00	0.00173999	0.515629	-0.000124783	179.829	-1.12616e-005	-179.728	0.00242569	0.0234376	140.844	0
+1.07045525E+00	+1.00531295E+00	0.00174046	0.515629	-0.000122474	-179.595	-1.12542e-005	-179.813	0.00242569	0.0234376	141.141	0
+1.07045412E+00	+1.00531064E+00	0.00174046	0.515629	-0.000124336	-179.548	-1.12597e-005	-179.899	0.00242569	0.0234376	141.453	0
+1.07045821E+00	+1.00531109E+00	0.00174022	0.523441	-0.000124239	-179.017	-1.12653e-005	-179.915	0.00242569	0.0234376	141.766	0
+1.07045702E+00	+1.00531506E+00	0.00174022	0.523441	-0.000124165	-179.274	-1.12728e-005	-179.853	0.00242569	0.0234376	142.078	0
+1.07046179E+00	+1.00531594E+00	0.00174046	0.515629	-0.000122876	179.923	-1.1284e-005	-179.79	0.00242569	0.0234376	142.406	0
+1.07045940E+00	+1.00531502E+00	0.00174046	0.523441	-0.000124441	-179.962	-1.12877e-005	-179.728	0.00242569	0.0234376	142.719	0
+1.07045325E+00	+1.00531562E+00	0.00174022	0.523441	-0.000124061	-179.47	-1.12821e-005	-179.642	0.00242569	0.0234376	143.016	0
