S1Rx-Ch1	S1Rx-Ch2	S1Ry-Ch1	S1Ry-Ch2	S2Ry-Ch1	S2Ry-Ch2	S2Rx-Ch1	S2Rx-Ch2	temperature	field	Time	Sweep var
0.00220658	0.437502	-0.00091422	179.892	-4.81683e-006	160.743	0.00498751	0.070313	+1.00018969E+01	+6.18435467E-03	16.187	0
0.00220658	0.421877	-0.00091422	179.892	-4.83918e-006	161.017	0.00498822	-0.0312502	+1.00018999E+01	+6.18299804E-03	16.468	0
0.00220729	0.429689	-0.000914339	179.892	-4.84104e-006	161.22	0.00498822	-0.0156251	+1.00018974E+01	+6.18554960E-03	16.812	0
0.00220706	0.437502	-0.000914339	179.892	-4.82055e-006	161.235	0.00498775	0.0234376	+1.00018967E+01	+6.18091073E-03	17.109	0
0.00220753	0.429689	-0.000914577	179.892	-4.81497e-006	161.306	0.00498822	-0.0312502	+1.00028753E+01	+6.18339911E-03	17.421	0
0.00220682	0.437502	-0.000914697	179.892	-4.81497e-006	161.431	0.00498775	-0.00781256	+1.00067809E+01	+6.18167310E-03	17.734	0
0.00220729	0.421877	-0.000914816	179.892	-4.82987e-006	161.509	0.00498822	0.0156251	+1.00067869E+01	+6.18037831E-03	18.031	0
0.00220729	0.429689	-0.000914816	179.892	-4.82987e-006	161.563	0.00498965	0.0937505	+1.00067934E+01	+6.17957659E-03	18.359	0
0.00220706	0.429689	-0.000914816	179.892	-4.7982e-006	161.407	0.00498822	-0.00781256	+1.00067861E+01	+6.17801812E-03	18.671	0
0.00220658	0.429689	-0.000914935	179.892	-4.76281e-006	161.22	0.00498942	0.070313	+1.00067823E+01	+6.18549985E-03	18.984	0
0.0022061	0.437502	-0.000914935	179.892	-4.76468e-006	161.353	0.00498822	0.0468752	+1.00067792E+01	+6.18288195E-03	19.281	0
0.0022061	0.437502	-0.000914935	179.892	-4.78516e-006	161.485	0.0049887	-0.085938	+1.00067783E+01	+6.18354424E-03	19.593	0
0.00220586	0.437502	-0.000914816	179.892	-4.79448e-006	161.337	0.0049887	-0.0312502	+1.00067790E+01	+6.18481991E-03	19.906	0
0.00220753	0.421877	-0.000914697	179.892	-4.79634e-006	161.22	0.00498703	0.125001	+1.00067790E+01	+6.18051501E-03	20.218	0
0.00220777	0.437502	-0.000914697	179.892	-4.80752e-006	161.009	0.00498775	-0.0546877	+1.00067798E+01	+6.18361789E-03	20.546	0
0.00220753	0.437502	-0.000914697	179.892	-4.7982e-006	160.626	0.00498918	0.0390627	+1.00067811E+01	+6.18255979E-03	20.859	0
0.00220706	0.429689	-0.000914816	179.892	-4.76281e-006	160.36	0.00498703	0	+1.00067812E+01	+6.18171984E-03	21.156	0
0.00220729	0.421877	-0.000914816	179.892	-4.7535e-006	160.454	0.0049887	0.0546877	+1.00067865E+01	+6.18113454E-03	21.484	0
0.00220706	0.437502	-0.000914339	179.892	-4.7684e-006	160.634	0.0049887	0.085938	+1.00067830E+01	+6.18618575E-03	21.796	0
0.00220729	0.437502	-0.000914101	179.892	-4.77771e-006	160.665	0.00498655	-0.0156251	+1.00067820E+01	+6.18696105E-03	22.109	0
0.00220658	0.429689	-0.000914339	179.892	-4.78703e-006	160.563	0.00498727	-0.0781255	+1.00067828E+01	+6.18575734E-03	22.406	0
0.00220777	0.421877	-0.000914816	179.892	-4.77958e-006	160.501	0.00498822	0	+1.00067860E+01	+6.18394981E-03	22.718	0
0.00220682	0.437502	-0.000915173	179.892	-4.76468e-006	160.454	0.00498846	0.0468752	+1.00067786E+01	+6.18314921E-03	23.046	0
0.0022061	0.437502	-0.000915293	179.892	-4.75536e-006	160.267	0.00498894	0.125001	+1.00067771E+01	+6.18110498E-03	23.359	0
0.00220658	0.421877	-0.000915173	179.892	-4.75536e-006	160.11	0.00498703	0.0234376	+1.00067819E+01	+6.18404595E-03	23.656	0
0.00220729	0.421877	-0.000914816	179.892	-4.77026e-006	160.251	0.00498822	0.00781256	+1.00067823E+01	+6.18323534E-03	23.984	0
0.00220872	0.437502	-0.000914458	179.892	-4.75909e-006	160.493	0.00498775	0.0312502	+1.00067788E+01	+6.18521910E-03	24.296	0
0.00220729	0.429689	-0.00091422	179.892	-4.73115e-006	160.509	0.00498775	0.0312502	+1.00067754E+01	+6.17972679E-03	24.609	0
0.00220729	0.421877	-0.000914101	179.892	-4.74419e-006	160.626	0.00498822	0.0937505	+1.00067757E+01	+6.18094624E-03	24.906	0
0.00220753	0.421877	-0.000914101	179.892	-4.75164e-006	160.813	0.0049887	0.0468752	+1.00067751E+01	+6.18487334E-03	25.218	0
0.00220729	0.437502	-0.000914101	179.892	-4.75722e-006	160.97	0.00498894	0.085938	+1.00067789E+01	+6.18700639E-03	25.546	0
0.00220825	0.437502	-0.000913981	179.892	-4.78144e-006	161.165	0.00498775	0.0546877	+1.00067791E+01	+6.18893031E-03	25.843	0
0.00220729	0.421877	-0.000913981	179.892	-4.82614e-006	161.415	0.00498822	-0.0546877	+1.00067808E+01	+6.18869417E-03	26.171	0
0.00220753	0.429689	-0.000914101	179.892	-4.86526e-006	161.54	0.00498798	0.070313	+1.00067768E+01	+6.18901242E-03	26.484	0
0.00220849	0.437502	-0.000913981	179.892	-4.89134e-006	161.431	0.00498727	0.0234376	+1.00067792E+01	+6.18470391E-03	26.781	0
0.00220682	0.421877	-0.000913862	179.892	-4.88947e-006	161.353	0.00498751	0.0234376	+1.00037682E+01	+6.18688701E-03	27.109	0
0.00220634	0.421877	-0.000913743	179.892	-4.86898e-006	161.337	0.00498655	0.125001	+1.00038496E+01	+6.18392411E-03	27.421	0
0.00220658	0.437502	-0.000913624	179.892	-4.85781e-006	161.212	0.00498775	0.085938	+1.00067739E+01	+6.18803562E-03	27.734	0
0.00220563	0.429689	-0.000913266	179.892	-4.84104e-006	161.095	0.00498703	-0.0937505	+1.00067776E+01	+6.18941305E-03	28.031	0
0.0022061	0.429689	-0.000913028	179.892	-4.82614e-006	161.063	0.00498822	0.0625005	+1.00067775E+01	+6.18926069E-03	28.359	0
0.00220515	0.421877	-0.000912908	179.892	-4.80007e-006	161.056	0.00498846	0.0937505	+1.00067776E+01	+6.19121215E-03	28.671	0
