Time	Temperature	Field	Vg1	Va1	Rxy1 Ch1	Rxy1 Ch2	Rxx1 Ch1	Rxx1 Ch2	Vg2	Rxy2 Ch1	Rxy2 Ch2	Rxx2 Ch1	Rxx2 Ch2	Field(analog)	Angle	
4.000187E-3	2.004220E+0	-5.999700E+0	0	0	4.79596e-005	2.98025e-007	0.000856999	-7.53128	0					-6.013182E+0	0.000000E+0	
1.040063E-1	2.003810E+0	-5.999700E+0	0	0	4.79596e-005	2.98025e-007	0.000856999	-7.53128	0					-6.013182E+0	0.000000E+0	
2.040119E-1	2.003810E+0	-5.999700E+0	0	0	4.79596e-005	2.98025e-007	0.000856999	-7.53128	0					-6.013182E+0	0.000000E+0	
3.040175E-1	2.003810E+0	-5.999700E+0	0	0	4.79559e-005	2.98025e-007	0.000856999	-7.53128	0					-6.013182E+0	0.000000E+0	
4.030232E-1	2.003810E+0	-5.999700E+0	0	0	4.79559e-005	3.0175e-007	0.000856999	-7.53128	0					-6.013182E+0	0.000000E+0	
5.030289E-1	2.003810E+0	-5.999700E+0	0	0	4.79522e-005	3.05476e-007	0.00085694	-7.53128	0					-6.013182E+0	0.000000E+0	
6.030345E-1	2.003810E+0	-5.999700E+0	0	0	4.79484e-005	3.05476e-007	0.00085694	-7.53128	0					-6.013182E+0	0.000000E+0	
7.030406E-1	2.003810E+0	-5.999700E+0	0	0	4.79447e-005	3.05476e-007	0.00085694	-7.53128	0					-6.013182E+0	0.000000E+0	
8.030462E-1	2.003880E+0	-5.999700E+0	0	0	4.79447e-005	3.0175e-007	0.00085694	-7.53128	0					-6.013182E+0	0.000000E+0	
9.030519E-1	2.003880E+0	-5.999700E+0	0	0	4.79447e-005	2.98025e-007	0.00085688	-7.53128	0					-6.013058E+0	0.000000E+0	
1.003057E+0	2.003880E+0	-5.999700E+0	0	0	4.79447e-005	2.943e-007	0.00085688	-7.53128	0					-6.013058E+0	0.000000E+0	
1.103063E+0	2.003880E+0	-5.999700E+0	0	0	4.79484e-005	2.90574e-007	0.00085688	-7.53128	0					-6.013058E+0	0.000000E+0	
1.203069E+0	2.003880E+0	-5.999700E+0	0	0	4.79484e-005	2.90574e-007	0.00085688	-7.53128	0					-6.013058E+0	0.000000E+0	
1.303075E+0	2.003880E+0	-5.999700E+0	0	0	4.79484e-005	2.943e-007	0.00085688	-7.53128	0					-6.013058E+0	0.000000E+0	
1.403080E+0	2.003880E+0	-5.999700E+0	0	0	4.79484e-005	2.943e-007	0.00085688	-7.53128	0					-6.013058E+0	0.000000E+0	
1.503086E+0	2.003690E+0	-5.999700E+0	0	0	4.79484e-005	2.98025e-007	0.00085688	-7.53128	0					-6.013058E+0	0.000000E+0	
1.603092E+0	2.003690E+0	-5.999700E+0	0	0	4.79484e-005	2.98025e-007	0.00085682	-7.53128	0					-6.013223E+0	0.000000E+0	
1.703098E+0	2.003690E+0	-5.999700E+0	0	0	4.79484e-005	2.98025e-007	0.00085682	-7.53128	0					-6.013223E+0	0.000000E+0	
1.803103E+0	2.003690E+0	-5.999700E+0	0	0	4.79484e-005	2.943e-007	0.00085682	-7.53128	0					-6.013223E+0	0.000000E+0	
1.903109E+0	2.003690E+0	-5.999700E+0	0	0	4.79484e-005	2.86849e-007	0.00085688	-7.53128	0					-6.013223E+0	0.000000E+0	
2.003115E+0	2.003690E+0	-5.999700E+0	0	0	4.79484e-005	2.83124e-007	0.00085688	-7.53128	0					-6.013223E+0	0.000000E+0	
2.103120E+0	2.003690E+0	-5.999700E+0	0	0	4.79484e-005	2.79399e-007	0.00085688	-7.53128	0					-6.013223E+0	0.000000E+0	
2.203126E+0	2.004170E+0	-5.999700E+0	0	0	4.79484e-005	2.71948e-007	0.00085682	-7.53128	0					-6.013223E+0	0.000000E+0	
2.303132E+0	2.004170E+0	-5.999700E+0	0	0	4.79447e-005	2.68223e-007	0.00085682	-7.53128	0					-6.013099E+0	0.000000E+0	
2.404138E+0	2.004170E+0	-5.999700E+0	0	0	4.79447e-005	2.60772e-007	0.00085682	-7.53128	0					-6.013099E+0	0.000000E+0	
2.504143E+0	2.004170E+0	-5.999700E+0	0	0	4.79447e-005	2.57047e-007	0.00085682	-7.53128	0					-6.013099E+0	0.000000E+0	
2.604149E+0	2.004170E+0	-5.999700E+0	0	0	4.79447e-005	2.53322e-007	0.000856761	-7.53128	0					-6.013099E+0	0.000000E+0	
2.704155E+0	2.004170E+0	-5.999700E+0	0	0	4.79447e-005	2.49596e-007	0.000856761	-7.53128	0					-6.013099E+0	0.000000E+0	
2.804161E+0	2.004170E+0	-5.999700E+0	0	0	4.79447e-005	2.45871e-007	0.000856761	-7.53128	0					-6.013099E+0	0.000000E+0	
2.904166E+0	2.004170E+0	-5.999700E+0	0	0	4.79484e-005	2.42146e-007	0.000856701	-7.53128	0					-6.013099E+0	0.000000E+0	
3.004172E+0	2.004370E+0	-5.999700E+0	0	0	4.79522e-005	2.42146e-007	0.000856701	-7.53128	0					-6.013099E+0	0.000000E+0	
3.104178E+0	2.004370E+0	-5.999700E+0	0	0	4.79559e-005	2.3842e-007	0.000856642	-7.53128	0					-6.013223E+0	0.000000E+0	
3.204184E+0	2.004370E+0	-5.999700E+0	0	0	4.79633e-005	2.3842e-007	0.000856642	-7.53128	0					-6.013223E+0	0.000000E+0	
3.304189E+0	2.004370E+0	-5.999700E+0	0	0	4.79633e-005	2.42146e-007	0.000856642	-7.53128	0					-6.013223E+0	0.000000E+0	
3.404195E+0	2.004370E+0	-5.999700E+0	0	0	4.79671e-005	2.42146e-007	0.000856642	-7.53128	0					-6.013223E+0	0.000000E+0	
3.504200E+0	2.004370E+0	-5.999700E+0	0	0	4.79671e-005	2.42146e-007	0.000856642	-7.53128	0					-6.013223E+0	0.000000E+0	
3.604207E+0	2.004370E+0	-5.999700E+0	0	0	4.79708e-005	2.42146e-007	0.000856642	-7.53128	0					-6.013223E+0	0.000000E+0	
3.704212E+0	2.004260E+0	-5.999700E+0	0	0	4.79708e-005	2.42146e-007	0.000856642	-7.53128	0					-6.013223E+0	0.000000E+0	
3.804218E+0	2.004260E+0	-5.999700E+0	0	0	4.79745e-005	2.42146e-007	0.000856642	-7.53128	0					-6.013017E+0	0.000000E+0	
3.904223E+0	2.004260E+0	-5.999700E+0	0	0	4.79745e-005	2.45871e-007	0.000856701	-7.53128	0					-6.013017E+0	0.000000E+0	
4.004229E+0	2.004260E+0	-5.999700E+0	0	0	4.79745e-005	2.53322e-007	0.000856701	-7.53128	0					-6.013017E+0	0.000000E+0	
4.104235E+0	2.004260E+0	-5.999700E+0	0	0	4.79745e-005	2.57047e-007	0.000856761	-7.53128	0					-6.013017E+0	0.000000E+0	
4.204241E+0	2.004260E+0	-5.999700E+0	0	0	4.79745e-005	2.64497e-007	0.000856761	-7.53128	0					-6.013017E+0	0.000000E+0	
4.304246E+0	2.004260E+0	-5.999700E+0	0	0	4.79745e-005	2.68223e-007	0.000856761	-7.53128	0					-6.013017E+0	0.000000E+0	
4.404252E+0	2.004460E+0	-5.999700E+0	0	0	4.79745e-005	2.71948e-007	0.000856761	-7.53128	0					-6.013017E+0	0.000000E+0	
4.504258E+0	2.004460E+0	-5.999700E+0	0	0	4.79745e-005	2.71948e-007	0.000856761	-7.53128	0					-6.013140E+0	0.000000E+0	
4.604264E+0	2.004460E+0	-5.999700E+0	0	0	4.79745e-005	2.71948e-007	0.000856761	-7.53128	0					-6.013140E+0	0.000000E+0	
4.704269E+0	2.004460E+0	-5.999700E+0	0	0	4.79745e-005	2.71948e-007	0.000856761	-7.53128	0					-6.013140E+0	0.000000E+0	
4.804275E+0	2.004460E+0	-5.999273E+0	0	0	4.79745e-005	2.71948e-007	0.000856761	-7.53128	0					-6.013140E+0	0.000000E+0	
